Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,NumPos
Bam Adebayo, PF,22, MIA,65,2235.0,20.6,0.018000000000000002,0.47600000000000003,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2,2019-20,0.606,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,4
LaMarcus Aldridge, C,34, SAS,53,1754.0,19.8,0.198,0.24100000000000002,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5,2019-20,0.5710000000000001,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.6,5
Nickeil Alexander-Walker, SG,21, NOP,41,501.0,7.6,0.515,0.12300000000000001,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4,2019-20,0.441,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,2
Grayson Allen, SG,24, MEM,30,498.0,11.4,0.517,0.19899999999999998,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1,2019-20,0.5770000000000001,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,2
Jarrett Allen, C,21, BRK,64,1647.0,20.3,0.012,0.574,4.3,2.8,7.1,0.207,1.0,1.1,2.1,1.7,2019-20,0.6579999999999999,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,5
Kadeem Allen, SG,27, NYK,10,117.0,14.0,0.364,0.25,0.1,0.1,0.1,0.053,0.0,-0.6,-0.6,0.0,2019-20,0.512,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,2
Al-Farouq Aminu, PF,29, ORL,18,380.0,7.6,0.419,0.337,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1,2019-20,0.395,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,4
Justin Anderson, SF,26, BRK,3,17.0,-3.8,0.5,0.33299999999999996,-0.1,0.0,-0.1,-0.16699999999999998,-12.8,-2.3,-15.1,-0.1,2019-20,0.218,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,3
Kyle Anderson, PF,26, MEM,59,1140.0,13.0,0.221,0.23600000000000002,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7,2019-20,0.542,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,4
Ryan Anderson, PF,31, HOU,2,14.0,9.5,0.7140000000000001,0.0,0.0,0.0,0.0,-0.031,-4.1,0.7,-3.4,0.0,2019-20,0.35700000000000004,0.0,52.8,26.2,20.1,3.3,0.0,12.5,23.6,4
Giannis Antetokounmpo, PF,25, MIL,57,1763.0,31.6,0.23800000000000002,0.5,5.6,4.8,10.4,0.282,7.4,4.1,11.5,6.0,2019-20,0.608,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,4
