Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Jake Allen,29, STL,24,21,12,6,3,48,655,607,2.15,2,4.9,1339,14,2,11.23,0,0,0,0,2019-20,0.927,0.667,81
Frederik Andersen,30, TOR,52,52,29,13,7,143,1577,1434,2.85,3,8.9,3007,27,8,-0.4,0,0,0,0,2019-20,0.909,0.519,100
Craig Anderson,38, OTT,34,31,11,17,2,100,1018,918,3.25,0,4.9,1845,14,7,-7.95,0,1,1,0,2019-20,0.902,0.452,109
David Ayres,42, CAR,1,0,1,0,0,2,10,8,4.18,0,-0.1,29,0,0,0.0,0,0,0,0,2019-20,0.8,0.0,0
Jonathan Bernier,31, DET,46,41,15,22,3,126,1353,1227,2.95,1,7.2,2566,17,5,-3.66,0,3,3,4,2019-20,0.907,0.415,103
Antoine Bibeau,25, COL,2,1,1,0,0,5,42,37,3.27,0,0.1,92,0,0,0.0,0,0,0,0,2019-20,0.8809999999999999,0.0,0
Jordan Binnington,26, STL,50,50,30,13,7,126,1430,1304,2.56,3,8.4,2948,28,5,3.31,0,1,1,4,2019-20,0.912,0.56,97
Ben Bishop,33, DAL,44,43,21,16,4,103,1286,1183,2.5,2,8.7,2474,27,5,13.29,0,2,2,2,2019-20,0.92,0.628,89
MacKenzie Blackwood,23, NJD,47,43,22,14,8,124,1452,1328,2.77,3,9.0,2684,22,6,7.3,0,1,1,0,2019-20,0.915,0.512,94
Sergei Bobrovsky,31, FLA,50,48,23,19,6,151,1505,1354,3.23,1,6.9,2806,20,10,-14.91,0,0,0,0,2019-20,0.9,0.41700000000000004,111
Laurent Brossoit,26, WPG,19,15,6,7,1,54,512,458,3.28,0,2.1,988,7,1,-7.7,0,0,0,0,2019-20,0.895,0.467,117
Jack Campbell,28, TOT,26,26,11,12,3,73,761,688,2.8,0,3.8,1567,11,4,-4.19,0,0,0,0,2019-20,0.904,0.423,106
Jack Campbell,28, LAK,20,20,8,10,2,57,572,515,2.85,0,2.7,1202,7,4,-5.28,0,0,0,0,2019-20,0.9,0.35,110
Jack Campbell,28, TOR,6,6,3,2,1,16,189,173,2.63,0,1.2,365,4,0,0.0,0,0,0,0,2019-20,0.915,0.667,0
Eric Comrie,24, DET,3,2,0,2,0,9,66,57,4.28,0,0.0,126,0,1,0.0,0,0,0,0,2019-20,0.8640000000000001,0.0,0
Corey Crawford,35, CHI,40,39,16,20,3,108,1294,1186,2.77,1,8.3,2340,25,3,9.01,0,0,0,0,2019-20,0.917,0.6409999999999999,92
Oscar Dansk,25, VEG,1,1,0,1,0,6,37,31,6.0,0,-0.1,60,0,1,0.0,0,0,0,0,2019-20,0.838,0.0,0
Aaron Dell,30, SJS,33,30,12,15,3,92,986,894,3.01,0,5.3,1834,15,5,-2.84,0,0,0,0,2019-20,0.907,0.5,103
Thatcher Demko,24, VAN,27,25,13,10,2,78,822,744,3.06,0,4.2,1529,15,5,-3.67,0,0,0,0,2019-20,0.905,0.6,105
Michael Dipietro,20, VAN,1,0,0,0,0,1,7,6,7.16,0,0.0,8,0,0,0.0,0,0,0,0,2019-20,0.857,0.0,0
Louis Domingue,27, TOT,17,15,3,9,2,51,433,382,3.81,0,1.2,803,4,5,-11.85,0,0,0,0,2019-20,0.882,0.267,130
Louis Domingue,27, NJD,16,14,3,8,2,47,399,352,3.79,0,1.1,744,4,5,-10.92,0,0,0,0,2019-20,0.882,0.28600000000000003,130
Louis Domingue,27, VAN,1,1,0,1,0,4,34,30,4.08,0,0.1,59,0,0,0.0,0,0,0,0,2019-20,0.882,0.0,0
Chris Driedger,25, FLA,12,11,7,2,1,22,354,332,2.05,1,3.1,643,8,0,10.01,0,0,0,0,2019-20,0.938,0.727,69
Devan Dubnyk,33, MIN,30,28,12,15,2,93,849,756,3.35,1,3.1,1665,9,5,-16.23,0,0,0,2,2019-20,0.89,0.321,121
Brian Elliott,34, PHI,31,27,16,7,4,80,796,716,2.87,2,3.6,1674,14,8,-8.02,0,1,1,2,2019-20,0.899,0.519,111
Marc-Andre Fleury,35, VEG,49,48,27,16,5,133,1399,1266,2.77,5,7.2,2880,24,9,-6.5,0,0,0,8,2019-20,0.905,0.5,105
Anton Forsberg,27, CAR,3,3,1,1,0,8,78,70,3.35,0,0.3,143,1,0,0.0,0,0,0,0,2019-20,0.897,0.33299999999999996,0
Pavel Francouz,29, COL,34,30,21,7,4,77,996,919,2.41,1,7.0,1914,17,5,13.06,0,0,0,2,2019-20,0.9229999999999999,0.5670000000000001,85
Alexandar Georgiev,23, NYR,34,32,17,14,2,96,1063,967,3.04,2,6.0,1892,17,5,0.12,0,1,1,0,2019-20,0.91,0.531,100
John Gibson,26, ANA,51,51,20,26,5,149,1552,1403,3.0,1,7.8,2981,22,10,-8.66,0,0,0,6,2019-20,0.904,0.431,106
Thomas Greiss,34, NYI,31,28,16,9,4,73,838,765,2.74,0,5.0,1596,15,5,2.78,0,0,0,2,2019-20,0.9129999999999999,0.536,96
Philipp Grubauer,28, COL,36,36,18,12,4,90,1067,977,2.63,2,6.7,2057,17,4,6.48,0,0,0,0,2019-20,0.9159999999999999,0.47200000000000003,93
Jaroslav Halak,34, BOS,31,29,18,6,6,73,905,832,2.39,3,6.1,1833,18,3,8.83,0,2,2,0,2019-20,0.919,0.621,89
Carter Hart,21, PHI,43,40,24,13,3,95,1100,1005,2.42,1,6.7,2356,25,9,4.47,0,0,0,0,2019-20,0.914,0.625,96
Connor Hellebuyck,26, WPG,58,56,31,21,5,140,1796,1656,2.57,6,12.5,3269,36,6,22.4,0,2,2,0,2019-20,0.922,0.643,86
