Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Jake Allen, 29, STL, 24, 21, 12, 6, 3, 48, 655, 607, .927, 2.15, 2, 4.9, 1339, 14, .667, 2, 81, 11.23, 0, 0, 0, 0,2019-20
Frederik Andersen, 30, TOR, 52, 52, 29, 13, 7, 143, 1577, 1434, .909, 2.85, 3, 8.9, 3007, 27, .519, 8, 100, -0.40, 0, 0, 0, 0,2019-20
Craig Anderson, 38, OTT, 34, 31, 11, 17, 2, 100, 1018, 918, .902, 3.25, 0, 4.9, 1845, 14, .452, 7, 109, -7.95, 0, 1, 1, 0,2019-20
David Ayres, 42, CAR, 1, 0, 1, 0, 0, 2, 10, 8, .800, 4.18, 0, -0.1, 29, 0, , 0, , , 0, 0, 0, 0,2019-20
Jonathan Bernier, 31, DET, 46, 41, 15, 22, 3, 126, 1353, 1227, .907, 2.95, 1, 7.2, 2566, 17, .415, 5, 103, -3.66, 0, 3, 3, 4,2019-20
Antoine Bibeau, 25, COL, 2, 1, 1, 0, 0, 5, 42, 37, .881, 3.27, 0, 0.1, 92, 0, .000, 0, , , 0, 0, 0, 0,2019-20
Jordan Binnington, 26, STL, 50, 50, 30, 13, 7, 126, 1430, 1304, .912, 2.56, 3, 8.4, 2948, 28, .560, 5, 97, 3.31, 0, 1, 1, 4,2019-20
Ben Bishop, 33, DAL, 44, 43, 21, 16, 4, 103, 1286, 1183, .920, 2.50, 2, 8.7, 2474, 27, .628, 5, 89, 13.29, 0, 2, 2, 2,2019-20
MacKenzie Blackwood, 23, NJD, 47, 43, 22, 14, 8, 124, 1452, 1328, .915, 2.77, 3, 9.0, 2684, 22, .512, 6, 94, 7.30, 0, 1, 1, 0,2019-20
Sergei Bobrovsky, 31, FLA, 50, 48, 23, 19, 6, 151, 1505, 1354, .900, 3.23, 1, 6.9, 2806, 20, .417, 10, 111, -14.91, 0, 0, 0, 0,2019-20
Laurent Brossoit, 26, WPG, 19, 15, 6, 7, 1, 54, 512, 458, .895, 3.28, 0, 2.1, 988, 7, .467, 1, 117, -7.70, 0, 0, 0, 0,2019-20
